text,label
that group should not exist,hate
I hate people like them all,hate
I hate people like them,hate
People like them ruin everything,hate
I love this place,normal
Stop acting like a fool,offensive
You are very annoying,offensive
I hate people like them all,hate
You are such an idiot,offensive
You are very annoying,offensive
People like those people ruin everything,hate
Welcome to the event,normal
Have a nice day,normal
that group are the worst people,hate
That was a stupid thing to say,offensive
Stop acting like a fool,offensive
I hate people like them,hate
that group should not exist,hate
That was a stupid thing to say,offensive
Good morning everyone,normal
That idea is dumb,offensive
Stop acting like a fool,offensive
them are the worst people,hate
them all should not exist,hate
Welcome to the event,normal
You are such an idiot,offensive
Have a nice day,normal
I cannot stand that group,hate
Welcome to the event,normal
Good morning everyone,normal
I hate people like them,hate
That idea is dumb,offensive
You are very annoying,offensive
That idea is dumb,offensive
Welcome to the event,normal
them are the worst people,hate
Have a nice day,normal
Good morning everyone,normal
That idea is dumb,offensive
those people should not exist,hate
that group should not exist,hate
That idea is dumb,offensive
Welcome to the event,normal
People like them ruin everything,hate
Have a nice day,normal
them all are the worst people,hate
Have a nice day,normal
That was a stupid thing to say,offensive
That was a stupid thing to say,offensive
People like those people ruin everything,hate
You are such an idiot,offensive
them all should not exist,hate
I hate people like them all,hate
Have a nice day,normal
Good morning everyone,normal
Stop acting like a fool,offensive
Hello how are you,normal
You are very annoying,offensive
You are very annoying,offensive
Welcome to the event,normal
That was a stupid thing to say,offensive
That idea is dumb,offensive
I hate people like them all,hate
That was a stupid thing to say,offensive
That idea is dumb,offensive
I love this place,normal
Hello how are you,normal
Welcome to the event,normal
that group should not exist,hate
Hello how are you,normal
People like that group ruin everything,hate
You are such an idiot,offensive
You are very annoying,offensive
Welcome to the event,normal
I love this place,normal
Welcome to the event,normal
Stop acting like a fool,offensive
I hate people like these people,hate
People like them ruin everything,hate
I love this place,normal
Welcome to the event,normal
Stop acting like a fool,offensive
Have a nice day,normal
Have a nice day,normal
That was a stupid thing to say,offensive
Have a nice day,normal
Good morning everyone,normal
I love this place,normal
You are such an idiot,offensive
Hello how are you,normal
those people should not exist,hate
I cannot stand these people,hate
those people are the worst people,hate
That was a stupid thing to say,offensive
I hate people like these people,hate
I love this place,normal
Good morning everyone,normal
Hello how are you,normal
Welcome to the event,normal
Good morning everyone,normal
You are such an idiot,offensive
I cannot stand that group,hate
People like them ruin everything,hate
You are very annoying,offensive
Stop acting like a fool,offensive
I hate people like these people,hate
You are very annoying,offensive
I hate people like that group,hate
You are such an idiot,offensive
Good morning everyone,normal
I hate people like them,hate
that group should not exist,hate
Have a nice day,normal
I cannot stand them,hate
People like those people ruin everything,hate
I hate people like them,hate
You are such an idiot,offensive
them are the worst people,hate
Good morning everyone,normal
I hate people like them all,hate
I cannot stand them,hate
them all are the worst people,hate
Stop acting like a fool,offensive
You are such an idiot,offensive
Have a nice day,normal
That idea is dumb,offensive
I love this place,normal
Welcome to the event,normal
Hello how are you,normal
People like these people ruin everything,hate
I love this place,normal
I hate people like those people,hate
Stop acting like a fool,offensive
Hello how are you,normal
You are very annoying,offensive
Stop acting like a fool,offensive
Stop acting like a fool,offensive
I cannot stand that group,hate
Have a nice day,normal
Good morning everyone,normal
Stop acting like a fool,offensive
Hello how are you,normal
that group are the worst people,hate
Stop acting like a fool,offensive
Welcome to the event,normal
I cannot stand them,hate
Welcome to the event,normal
these people should not exist,hate
You are such an idiot,offensive
You are very annoying,offensive
I hate people like those people,hate
You are such an idiot,offensive
I cannot stand that group,hate
Stop acting like a fool,offensive
them are the worst people,hate
Welcome to the event,normal
I love this place,normal
That idea is dumb,offensive
Welcome to the event,normal
Hello how are you,normal
them should not exist,hate
Good morning everyone,normal
them all should not exist,hate
Good morning everyone,normal
I hate people like them all,hate
Stop acting like a fool,offensive
Stop acting like a fool,offensive
Hello how are you,normal
those people are the worst people,hate
Have a nice day,normal
I hate people like these people,hate
People like them ruin everything,hate
People like those people ruin everything,hate
That idea is dumb,offensive
You are such an idiot,offensive
People like them ruin everything,hate
I hate people like those people,hate
I cannot stand them,hate
That was a stupid thing to say,offensive
That was a stupid thing to say,offensive
I hate people like them,hate
That was a stupid thing to say,offensive
Have a nice day,normal
them all are the worst people,hate
those people should not exist,hate
Hello how are you,normal
Good morning everyone,normal
You are very annoying,offensive
That idea is dumb,offensive
I cannot stand them all,hate
Have a nice day,normal
That idea is dumb,offensive
I hate people like these people,hate
I love this place,normal
I love this place,normal
Good morning everyone,normal
People like that group ruin everything,hate
them are the worst people,hate
I hate people like them all,hate
these people are the worst people,hate
Welcome to the event,normal
Hello how are you,normal
Good morning everyone,normal
Hello how are you,normal
Have a nice day,normal
You are very annoying,offensive
Hello how are you,normal
Good morning everyone,normal
Good morning everyone,normal
these people are the worst people,hate
I hate people like them,hate
Welcome to the event,normal
Good morning everyone,normal
Stop acting like a fool,offensive
People like them ruin everything,hate
Good morning everyone,normal
Hello how are you,normal
these people are the worst people,hate
Welcome to the event,normal
these people are the worst people,hate
People like them all ruin everything,hate
these people are the worst people,hate
I hate people like these people,hate
those people should not exist,hate
I hate people like that group,hate
You are very annoying,offensive
Good morning everyone,normal
Have a nice day,normal
Hello how are you,normal
You are such an idiot,offensive
I love this place,normal
You are very annoying,offensive
Stop acting like a fool,offensive
I love this place,normal
That idea is dumb,offensive
Have a nice day,normal
People like that group ruin everything,hate
That idea is dumb,offensive
People like that group ruin everything,hate
I cannot stand them all,hate
Hello how are you,normal
People like those people ruin everything,hate
You are such an idiot,offensive
Stop acting like a fool,offensive
I hate people like them,hate
That idea is dumb,offensive
Stop acting like a fool,offensive
You are such an idiot,offensive
You are very annoying,offensive
Have a nice day,normal
Hello how are you,normal
That idea is dumb,offensive
I cannot stand these people,hate
Have a nice day,normal
Good morning everyone,normal
I hate people like them,hate
those people are the worst people,hate
these people should not exist,hate
them are the worst people,hate
Stop acting like a fool,offensive
You are such an idiot,offensive
Good morning everyone,normal
You are such an idiot,offensive
That was a stupid thing to say,offensive
these people are the worst people,hate
those people should not exist,hate
I love this place,normal
Hello how are you,normal
I hate people like those people,hate
Hello how are you,normal
That idea is dumb,offensive
Hello how are you,normal
You are such an idiot,offensive
Hello how are you,normal
I cannot stand them all,hate
Hello how are you,normal
That idea is dumb,offensive
Welcome to the event,normal
Stop acting like a fool,offensive
them all are the worst people,hate
Stop acting like a fool,offensive
I cannot stand that group,hate
That idea is dumb,offensive
those people are the worst people,hate
Hello how are you,normal
Have a nice day,normal
People like them ruin everything,hate
People like these people ruin everything,hate
You are very annoying,offensive
That was a stupid thing to say,offensive
Have a nice day,normal
Hello how are you,normal
Have a nice day,normal
Stop acting like a fool,offensive
Good morning everyone,normal
them all should not exist,hate
I love this place,normal
Good morning everyone,normal
Welcome to the event,normal
Have a nice day,normal
You are such an idiot,offensive
I love this place,normal
them should not exist,hate
Stop acting like a fool,offensive
Stop acting like a fool,offensive
That was a stupid thing to say,offensive
Good morning everyone,normal
You are very annoying,offensive
You are such an idiot,offensive
That was a stupid thing to say,offensive
You are such an idiot,offensive
Good morning everyone,normal
I cannot stand them all,hate
Welcome to the event,normal
People like that group ruin everything,hate
these people should not exist,hate
them all should not exist,hate
Welcome to the event,normal
Stop acting like a fool,offensive
That was a stupid thing to say,offensive
Good morning everyone,normal
You are very annoying,offensive
them are the worst people,hate
People like that group ruin everything,hate
People like those people ruin everything,hate
I cannot stand those people,hate
Hello how are you,normal
I cannot stand them all,hate
that group should not exist,hate
You are such an idiot,offensive
That was a stupid thing to say,offensive
That was a stupid thing to say,offensive
Good morning everyone,normal
Hello how are you,normal
That idea is dumb,offensive
That idea is dumb,offensive
Stop acting like a fool,offensive
That idea is dumb,offensive
Have a nice day,normal
Good morning everyone,normal
That was a stupid thing to say,offensive
You are such an idiot,offensive
I hate people like these people,hate
That idea is dumb,offensive
Hello how are you,normal
You are very annoying,offensive
That was a stupid thing to say,offensive
Hello how are you,normal
Welcome to the event,normal
That idea is dumb,offensive
I cannot stand them,hate
People like those people ruin everything,hate
Welcome to the event,normal
these people are the worst people,hate
That idea is dumb,offensive
That idea is dumb,offensive
That idea is dumb,offensive
Have a nice day,normal
these people are the worst people,hate
That was a stupid thing to say,offensive
I love this place,normal
Good morning everyone,normal
That idea is dumb,offensive
them all are the worst people,hate
That was a stupid thing to say,offensive
Good morning everyone,normal
That idea is dumb,offensive
That idea is dumb,offensive
them should not exist,hate
Stop acting like a fool,offensive
I love this place,normal
Stop acting like a fool,offensive
I hate people like them,hate
those people are the worst people,hate
That was a stupid thing to say,offensive
Have a nice day,normal
I cannot stand that group,hate
Welcome to the event,normal
Hello how are you,normal
Have a nice day,normal
You are very annoying,offensive
Good morning everyone,normal
You are such an idiot,offensive
People like that group ruin everything,hate
You are very annoying,offensive
Have a nice day,normal
Welcome to the event,normal
those people should not exist,hate
People like those people ruin everything,hate
Welcome to the event,normal
You are very annoying,offensive
I hate people like these people,hate
I cannot stand those people,hate
I hate people like those people,hate
I cannot stand them,hate
Stop acting like a fool,offensive
them should not exist,hate
that group are the worst people,hate
Hello how are you,normal
I hate people like those people,hate
Have a nice day,normal
Hello how are you,normal
I hate people like them,hate
Good morning everyone,normal
You are very annoying,offensive
I love this place,normal
That idea is dumb,offensive
Hello how are you,normal
That was a stupid thing to say,offensive
them should not exist,hate
People like them all ruin everything,hate
That was a stupid thing to say,offensive
You are very annoying,offensive
You are such an idiot,offensive
those people should not exist,hate
You are very annoying,offensive
You are very annoying,offensive
Have a nice day,normal
I love this place,normal
I love this place,normal
Stop acting like a fool,offensive
I hate people like them all,hate
I love this place,normal
Welcome to the event,normal
Have a nice day,normal
those people should not exist,hate
People like them ruin everything,hate
You are very annoying,offensive
that group are the worst people,hate
them should not exist,hate
You are such an idiot,offensive
Stop acting like a fool,offensive
Welcome to the event,normal
Hello how are you,normal
You are very annoying,offensive
Stop acting like a fool,offensive
People like them ruin everything,hate
Have a nice day,normal
Hello how are you,normal
You are very annoying,offensive
Hello how are you,normal
these people are the worst people,hate
That idea is dumb,offensive
Have a nice day,normal
Hello how are you,normal
That was a stupid thing to say,offensive
Have a nice day,normal
Have a nice day,normal
You are very annoying,offensive
You are very annoying,offensive
That idea is dumb,offensive
People like them all ruin everything,hate
those people are the worst people,hate
You are such an idiot,offensive
Good morning everyone,normal
Have a nice day,normal
I hate people like those people,hate
That was a stupid thing to say,offensive
Welcome to the event,normal
them all should not exist,hate
That idea is dumb,offensive
them all are the worst people,hate
That idea is dumb,offensive
That was a stupid thing to say,offensive
Have a nice day,normal
Welcome to the event,normal
I hate people like that group,hate
Stop acting like a fool,offensive
You are very annoying,offensive
People like them all ruin everything,hate
I hate people like those people,hate
Stop acting like a fool,offensive
That was a stupid thing to say,offensive
I love this place,normal
You are very annoying,offensive
Good morning everyone,normal
I hate people like that group,hate
these people are the worst people,hate
That was a stupid thing to say,offensive
You are such an idiot,offensive
Hello how are you,normal
You are very annoying,offensive
that group should not exist,hate
You are such an idiot,offensive
You are such an idiot,offensive
You are such an idiot,offensive
I cannot stand those people,hate
these people should not exist,hate
You are such an idiot,offensive
People like them all ruin everything,hate
I hate people like them all,hate
You are such an idiot,offensive
I hate people like that group,hate
Stop acting like a fool,offensive
I hate people like them,hate
I love this place,normal
Good morning everyone,normal
I hate people like them,hate
Stop acting like a fool,offensive
You are very annoying,offensive
I hate people like them all,hate
That idea is dumb,offensive
You are such an idiot,offensive
People like those people ruin everything,hate
You are very annoying,offensive
Welcome to the event,normal
Stop acting like a fool,offensive
People like them ruin everything,hate
That idea is dumb,offensive
Welcome to the event,normal
Hello how are you,normal
People like these people ruin everything,hate
I love this place,normal
You are such an idiot,offensive
That idea is dumb,offensive
You are very annoying,offensive
them are the worst people,hate
Hello how are you,normal
Good morning everyone,normal
I hate people like these people,hate
People like that group ruin everything,hate
You are very annoying,offensive
I love this place,normal
Welcome to the event,normal
That was a stupid thing to say,offensive
That idea is dumb,offensive
People like those people ruin everything,hate
People like them all ruin everything,hate
That was a stupid thing to say,offensive
Good morning everyone,normal
Welcome to the event,normal
You are very annoying,offensive
Stop acting like a fool,offensive
these people should not exist,hate
I love this place,normal
I love this place,normal
I hate people like them,hate
Welcome to the event,normal
them are the worst people,hate
People like that group ruin everything,hate
I love this place,normal
That idea is dumb,offensive
Stop acting like a fool,offensive
I hate people like that group,hate
I love this place,normal
You are such an idiot,offensive
Hello how are you,normal
That idea is dumb,offensive
that group should not exist,hate
these people are the worst people,hate
You are very annoying,offensive
Have a nice day,normal
Hello how are you,normal
I hate people like those people,hate
Hello how are you,normal
You are such an idiot,offensive
You are very annoying,offensive
You are such an idiot,offensive
People like those people ruin everything,hate
Welcome to the event,normal
People like these people ruin everything,hate
them all are the worst people,hate
Hello how are you,normal
I love this place,normal
People like these people ruin everything,hate
them all are the worst people,hate
them should not exist,hate
Have a nice day,normal
Have a nice day,normal
them all are the worst people,hate
You are very annoying,offensive
Welcome to the event,normal
them all should not exist,hate
them are the worst people,hate
Have a nice day,normal
That idea is dumb,offensive
I cannot stand these people,hate
That idea is dumb,offensive
that group are the worst people,hate
You are such an idiot,offensive
Stop acting like a fool,offensive
You are such an idiot,offensive
People like them all ruin everything,hate
Good morning everyone,normal
these people should not exist,hate
You are very annoying,offensive
these people are the worst people,hate
Good morning everyone,normal
I love this place,normal
these people are the worst people,hate
You are very annoying,offensive
You are very annoying,offensive
that group are the worst people,hate
Have a nice day,normal
You are such an idiot,offensive
I hate people like them,hate
them all are the worst people,hate
these people should not exist,hate
I love this place,normal
Welcome to the event,normal
That was a stupid thing to say,offensive
Have a nice day,normal
You are very annoying,offensive
I cannot stand that group,hate
Stop acting like a fool,offensive
Welcome to the event,normal
Welcome to the event,normal
People like that group ruin everything,hate
I hate people like these people,hate
People like them ruin everything,hate
People like them all ruin everything,hate
I love this place,normal
those people should not exist,hate
I hate people like them all,hate
Good morning everyone,normal
I cannot stand them,hate
those people should not exist,hate
Stop acting like a fool,offensive
You are such an idiot,offensive
I love this place,normal
People like them all ruin everything,hate
You are very annoying,offensive
I love this place,normal
Welcome to the event,normal
You are very annoying,offensive
Have a nice day,normal
That was a stupid thing to say,offensive
that group are the worst people,hate
You are such an idiot,offensive
I love this place,normal
these people are the worst people,hate
People like those people ruin everything,hate
People like them ruin everything,hate
Have a nice day,normal
Stop acting like a fool,offensive
Welcome to the event,normal
these people should not exist,hate
Hello how are you,normal
I cannot stand those people,hate
Have a nice day,normal
You are very annoying,offensive
them should not exist,hate
People like those people ruin everything,hate
That was a stupid thing to say,offensive
You are very annoying,offensive
I hate people like those people,hate
I cannot stand that group,hate
People like them ruin everything,hate
Hello how are you,normal
That idea is dumb,offensive
I hate people like those people,hate
That was a stupid thing to say,offensive
I hate people like these people,hate
Welcome to the event,normal
I hate people like them all,hate
I hate people like these people,hate
You are such an idiot,offensive
them should not exist,hate
I hate people like these people,hate
Hello how are you,normal
Welcome to the event,normal
Hello how are you,normal
I hate people like those people,hate
that group should not exist,hate
those people should not exist,hate
Welcome to the event,normal
Welcome to the event,normal
People like that group ruin everything,hate
Have a nice day,normal
them all should not exist,hate
I hate people like these people,hate
I love this place,normal
You are such an idiot,offensive
those people should not exist,hate
I cannot stand these people,hate
Have a nice day,normal
That idea is dumb,offensive
You are very annoying,offensive
Stop acting like a fool,offensive
I cannot stand them,hate
Have a nice day,normal
Have a nice day,normal
that group should not exist,hate
That idea is dumb,offensive
Good morning everyone,normal
that group are the worst people,hate
Stop acting like a fool,offensive
People like them all ruin everything,hate
I hate people like them all,hate
these people are the worst people,hate
those people should not exist,hate
People like these people ruin everything,hate
I love this place,normal
Welcome to the event,normal
You are such an idiot,offensive
them should not exist,hate
Hello how are you,normal
I love this place,normal
Hello how are you,normal
Stop acting like a fool,offensive
Welcome to the event,normal
I cannot stand those people,hate
Have a nice day,normal
Have a nice day,normal
That was a stupid thing to say,offensive
People like them all ruin everything,hate
these people are the worst people,hate
that group are the worst people,hate
Stop acting like a fool,offensive
Stop acting like a fool,offensive
Welcome to the event,normal
Have a nice day,normal
Stop acting like a fool,offensive
Stop acting like a fool,offensive
People like them all ruin everything,hate
that group should not exist,hate
Have a nice day,normal
Good morning everyone,normal
I hate people like these people,hate
these people are the worst people,hate
Stop acting like a fool,offensive
You are such an idiot,offensive
Have a nice day,normal
I love this place,normal
those people should not exist,hate
You are such an idiot,offensive
You are such an idiot,offensive
Stop acting like a fool,offensive
People like that group ruin everything,hate
those people should not exist,hate
I love this place,normal
Stop acting like a fool,offensive
That idea is dumb,offensive
I hate people like these people,hate
That was a stupid thing to say,offensive
I love this place,normal
I love this place,normal
these people should not exist,hate
Hello how are you,normal
them should not exist,hate
those people should not exist,hate
Have a nice day,normal
Have a nice day,normal
Stop acting like a fool,offensive
You are such an idiot,offensive
You are very annoying,offensive
That idea is dumb,offensive
Good morning everyone,normal
That was a stupid thing to say,offensive
I cannot stand these people,hate
them all should not exist,hate
that group are the worst people,hate
I love this place,normal
Welcome to the event,normal
them all should not exist,hate
That idea is dumb,offensive
Stop acting like a fool,offensive
That was a stupid thing to say,offensive
Good morning everyone,normal
You are very annoying,offensive
Good morning everyone,normal
Welcome to the event,normal
Have a nice day,normal
that group should not exist,hate
You are very annoying,offensive
them should not exist,hate
I hate people like them,hate
Welcome to the event,normal
Stop acting like a fool,offensive
Good morning everyone,normal
People like these people ruin everything,hate
I love this place,normal
Welcome to the event,normal
Hello how are you,normal
I cannot stand them,hate
these people are the worst people,hate
That idea is dumb,offensive
Stop acting like a fool,offensive
I love this place,normal
Hello how are you,normal
that group should not exist,hate
You are very annoying,offensive
I love this place,normal
That was a stupid thing to say,offensive
them all are the worst people,hate
That was a stupid thing to say,offensive
People like those people ruin everything,hate
Stop acting like a fool,offensive
them should not exist,hate
Welcome to the event,normal
You are very annoying,offensive
those people should not exist,hate
That was a stupid thing to say,offensive
I love this place,normal
That idea is dumb,offensive
Hello how are you,normal
I hate people like those people,hate
Hello how are you,normal
You are such an idiot,offensive
Good morning everyone,normal
That idea is dumb,offensive
I hate people like those people,hate
I love this place,normal
I hate people like that group,hate
You are such an idiot,offensive
You are very annoying,offensive
I cannot stand that group,hate
Good morning everyone,normal
Hello how are you,normal
Have a nice day,normal
Have a nice day,normal
them should not exist,hate
Welcome to the event,normal
those people should not exist,hate
them should not exist,hate
You are such an idiot,offensive
Welcome to the event,normal
I love this place,normal
I hate people like them,hate
People like these people ruin everything,hate
I love this place,normal
That idea is dumb,offensive
Stop acting like a fool,offensive
Welcome to the event,normal
Welcome to the event,normal
You are such an idiot,offensive
That idea is dumb,offensive
That idea is dumb,offensive
Have a nice day,normal
I love this place,normal
That idea is dumb,offensive
Good morning everyone,normal
these people should not exist,hate
Welcome to the event,normal
That was a stupid thing to say,offensive
these people should not exist,hate
I love this place,normal
Welcome to the event,normal
That idea is dumb,offensive
Hello how are you,normal
them all should not exist,hate
Stop acting like a fool,offensive
I hate people like them all,hate
People like these people ruin everything,hate
You are very annoying,offensive
Have a nice day,normal
those people should not exist,hate
I love this place,normal
Stop acting like a fool,offensive
You are such an idiot,offensive
that group are the worst people,hate
Welcome to the event,normal
You are very annoying,offensive
Have a nice day,normal
Welcome to the event,normal
I cannot stand these people,hate
That was a stupid thing to say,offensive
Good morning everyone,normal
You are such an idiot,offensive
I hate people like those people,hate
them should not exist,hate
I hate people like these people,hate
You are such an idiot,offensive
Stop acting like a fool,offensive
them should not exist,hate
That idea is dumb,offensive
those people should not exist,hate
Good morning everyone,normal
Good morning everyone,normal
Have a nice day,normal
You are such an idiot,offensive
I love this place,normal
You are very annoying,offensive
these people are the worst people,hate
I hate people like those people,hate
Welcome to the event,normal
I cannot stand these people,hate
that group are the worst people,hate
Have a nice day,normal
Welcome to the event,normal
Hello how are you,normal
That idea is dumb,offensive
Good morning everyone,normal
That was a stupid thing to say,offensive
That idea is dumb,offensive
Have a nice day,normal
I cannot stand these people,hate
That was a stupid thing to say,offensive
that group should not exist,hate
You are very annoying,offensive
That was a stupid thing to say,offensive
them all should not exist,hate
That idea is dumb,offensive
That was a stupid thing to say,offensive
Hello how are you,normal
I cannot stand that group,hate
Stop acting like a fool,offensive
You are very annoying,offensive
I cannot stand these people,hate
I cannot stand that group,hate
them all should not exist,hate
I cannot stand them,hate
That idea is dumb,offensive
I hate people like those people,hate
Stop acting like a fool,offensive
that group should not exist,hate
Hello how are you,normal
Good morning everyone,normal
I hate people like these people,hate
Welcome to the event,normal
You are very annoying,offensive
People like them ruin everything,hate
I cannot stand those people,hate
You are such an idiot,offensive
You are very annoying,offensive
I cannot stand that group,hate
I cannot stand them all,hate
People like them ruin everything,hate
You are such an idiot,offensive
You are very annoying,offensive
People like these people ruin everything,hate
Hello how are you,normal
Hello how are you,normal
these people are the worst people,hate
Have a nice day,normal
them all should not exist,hate
I love this place,normal
People like that group ruin everything,hate
I hate people like them,hate
You are such an idiot,offensive
I love this place,normal
that group should not exist,hate
That was a stupid thing to say,offensive
I love this place,normal
them all are the worst people,hate
these people should not exist,hate
People like them ruin everything,hate
You are very annoying,offensive
Stop acting like a fool,offensive
Welcome to the event,normal
I cannot stand these people,hate
Stop acting like a fool,offensive
You are such an idiot,offensive
Welcome to the event,normal
I hate people like those people,hate
Welcome to the event,normal
Welcome to the event,normal
Stop acting like a fool,offensive
Hello how are you,normal
That was a stupid thing to say,offensive
That idea is dumb,offensive
You are very annoying,offensive
I hate people like them all,hate
You are very annoying,offensive
You are such an idiot,offensive
That was a stupid thing to say,offensive
I love this place,normal
You are very annoying,offensive
That was a stupid thing to say,offensive
Welcome to the event,normal
You are very annoying,offensive
Welcome to the event,normal
those people should not exist,hate
That was a stupid thing to say,offensive
That idea is dumb,offensive
That was a stupid thing to say,offensive
I hate people like them,hate
You are very annoying,offensive
I hate people like them all,hate
You are very annoying,offensive
People like them all ruin everything,hate
Hello how are you,normal
that group should not exist,hate
Welcome to the event,normal
Have a nice day,normal
That was a stupid thing to say,offensive
That idea is dumb,offensive
Good morning everyone,normal
Have a nice day,normal
Stop acting like a fool,offensive
Welcome to the event,normal
Welcome to the event,normal
I cannot stand them all,hate
Stop acting like a fool,offensive
Good morning everyone,normal
That was a stupid thing to say,offensive
I love this place,normal
Have a nice day,normal
them should not exist,hate
Hello how are you,normal
I cannot stand that group,hate
People like that group ruin everything,hate
Have a nice day,normal
That was a stupid thing to say,offensive
I hate people like those people,hate
Have a nice day,normal
Good morning everyone,normal
Stop acting like a fool,offensive
You are very annoying,offensive
That was a stupid thing to say,offensive
You are such an idiot,offensive
Welcome to the event,normal
Have a nice day,normal
Have a nice day,normal
I love this place,normal
Stop acting like a fool,offensive
them should not exist,hate
Have a nice day,normal
That idea is dumb,offensive
Good morning everyone,normal
I love this place,normal
these people are the worst people,hate
That was a stupid thing to say,offensive
I cannot stand these people,hate
that group should not exist,hate
Stop acting like a fool,offensive
People like them ruin everything,hate
Welcome to the event,normal
I love this place,normal
People like these people ruin everything,hate
Have a nice day,normal
You are such an idiot,offensive
That was a stupid thing to say,offensive
Good morning everyone,normal
Stop acting like a fool,offensive
Have a nice day,normal
Have a nice day,normal
Hello how are you,normal
You are such an idiot,offensive
Welcome to the event,normal
I hate people like that group,hate
I love this place,normal
Good morning everyone,normal
them all should not exist,hate
Good morning everyone,normal
Stop acting like a fool,offensive
Have a nice day,normal
I love this place,normal
You are very annoying,offensive
I cannot stand them all,hate
You are such an idiot,offensive
I love this place,normal
That idea is dumb,offensive
Good morning everyone,normal
Welcome to the event,normal
That was a stupid thing to say,offensive
I love this place,normal
You are very annoying,offensive
People like them ruin everything,hate
Welcome to the event,normal
that group should not exist,hate
I cannot stand them,hate
those people are the worst people,hate
I love this place,normal
That idea is dumb,offensive
I hate people like that group,hate
Have a nice day,normal
Hello how are you,normal
I love this place,normal
those people are the worst people,hate
I cannot stand that group,hate
People like that group ruin everything,hate
I cannot stand those people,hate
those people are the worst people,hate
Good morning everyone,normal
Have a nice day,normal
Stop acting like a fool,offensive
You are such an idiot,offensive
I hate people like them all,hate
that group should not exist,hate
Hello how are you,normal
I hate people like these people,hate
Good morning everyone,normal
I cannot stand that group,hate
That was a stupid thing to say,offensive
Welcome to the event,normal
Stop acting like a fool,offensive
Stop acting like a fool,offensive
That was a stupid thing to say,offensive
You are very annoying,offensive
I love this place,normal
Stop acting like a fool,offensive
Welcome to the event,normal
That was a stupid thing to say,offensive
People like them all ruin everything,hate
Hello how are you,normal
Welcome to the event,normal
I hate people like them all,hate
Have a nice day,normal
Good morning everyone,normal
I cannot stand them all,hate
You are very annoying,offensive
I love this place,normal
You are very annoying,offensive
You are very annoying,offensive
Good morning everyone,normal
them all should not exist,hate
Have a nice day,normal
Have a nice day,normal
You are very annoying,offensive
That idea is dumb,offensive
Have a nice day,normal
People like them ruin everything,hate
those people are the worst people,hate
these people are the worst people,hate
That idea is dumb,offensive
Hello how are you,normal
I love this place,normal
Good morning everyone,normal
those people should not exist,hate
Hello how are you,normal
Have a nice day,normal
Stop acting like a fool,offensive
Stop acting like a fool,offensive
those people are the worst people,hate
That was a stupid thing to say,offensive
People like them all ruin everything,hate
I hate people like them,hate
Stop acting like a fool,offensive
You are such an idiot,offensive
That idea is dumb,offensive
You are such an idiot,offensive
Stop acting like a fool,offensive
People like them all ruin everything,hate
Have a nice day,normal
I cannot stand them,hate
Have a nice day,normal
Hello how are you,normal
them all are the worst people,hate
that group should not exist,hate
You are very annoying,offensive
Good morning everyone,normal
I hate people like them,hate
I cannot stand that group,hate
them should not exist,hate
Welcome to the event,normal
I love this place,normal
Hello how are you,normal
Stop acting like a fool,offensive
these people should not exist,hate
You are such an idiot,offensive
People like them ruin everything,hate
I love this place,normal
I cannot stand them,hate
Welcome to the event,normal
Good morning everyone,normal
You are such an idiot,offensive
Stop acting like a fool,offensive
them all are the worst people,hate
That was a stupid thing to say,offensive
That was a stupid thing to say,offensive
I love this place,normal
I hate people like that group,hate
I love this place,normal
them all should not exist,hate
People like those people ruin everything,hate
I cannot stand that group,hate
Stop acting like a fool,offensive
I cannot stand those people,hate
People like that group ruin everything,hate
That was a stupid thing to say,offensive
Have a nice day,normal
Good morning everyone,normal
Good morning everyone,normal
Stop acting like a fool,offensive
You are very annoying,offensive
I hate people like them all,hate
Welcome to the event,normal
Hello how are you,normal
I hate people like them,hate
that group should not exist,hate
Good morning everyone,normal
That was a stupid thing to say,offensive
People like them all ruin everything,hate
I love this place,normal
Hello how are you,normal
these people should not exist,hate
Stop acting like a fool,offensive
You are very annoying,offensive
You are very annoying,offensive
Hello how are you,normal
You are such an idiot,offensive
You are such an idiot,offensive
I love this place,normal
You are such an idiot,offensive
People like those people ruin everything,hate
I cannot stand these people,hate
Welcome to the event,normal
That idea is dumb,offensive
You are very annoying,offensive
That was a stupid thing to say,offensive
That idea is dumb,offensive
Stop acting like a fool,offensive
That idea is dumb,offensive
You are such an idiot,offensive
You are such an idiot,offensive
that group are the worst people,hate
Stop acting like a fool,offensive
Good morning everyone,normal
Have a nice day,normal
these people should not exist,hate
You are very annoying,offensive
Good morning everyone,normal
I cannot stand that group,hate
them are the worst people,hate
them should not exist,hate
Good morning everyone,normal
You are such an idiot,offensive
Have a nice day,normal
that group are the worst people,hate
I cannot stand these people,hate
them all should not exist,hate
That idea is dumb,offensive
You are very annoying,offensive
I love this place,normal
Good morning everyone,normal
You are such an idiot,offensive
You are such an idiot,offensive
That idea is dumb,offensive
People like them all ruin everything,hate
People like these people ruin everything,hate
That was a stupid thing to say,offensive
That was a stupid thing to say,offensive
That was a stupid thing to say,offensive
that group should not exist,hate
Welcome to the event,normal
Welcome to the event,normal
them should not exist,hate
People like these people ruin everything,hate
Welcome to the event,normal
Have a nice day,normal
Good morning everyone,normal
Hello how are you,normal
those people are the worst people,hate
You are such an idiot,offensive
That was a stupid thing to say,offensive
People like these people ruin everything,hate
You are such an idiot,offensive
Good morning everyone,normal
